Id,Artist,Title,Wks,T10,PK,Pkstreams,Total,ReleaseDate,Popularity,Genre,Unique_Listener
1771,Trippie Redd,Miss The Rage,18,,19,"17,348,179","133,872,952",8/21/2021,74,"_add release, emo rap, hip hop, rage, trap",515433
1772,Becky G,Shower,41,1,10,"6,395,087","133,754,216",4/23/2014,78,"contemporary r&b, cumbia, dance-pop, hip hop, latin, latin pop, latin urban, mexican traditions, pop, pop rap, reggaeton, stage & screen, teen pop",747706
1773,BANNERS,Someone To You,26,,121,"6,003,630","133,590,328",11/3/2017,68,"rap, love, romatic",505100
1774,Niall Horan,This Town,23,,22,"12,612,335","133,465,169",10/20/2017,78,pop,601529
1775,Taylor Swift,All Of The Girls You Loved Before,11,,12,"22,778,018","133,453,137",8/23/2019,73,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",643194
1776,BLACKPINK,Lovesick Girls,15,1,6,"26,331,588","133,333,407",10/2/2020,70,"2010s, 2020s, 3rd gen k-pop, female vocals, girl crush, girl group, hip hop, k-pop, pop",570636
1777,Olly Alexander (Years & Years),King,34,,21,"7,173,514","133,115,545",9/18/2020,82,"dance-pop, electronica, eurovision 2024 artists, synth-pop",296812
1778,Queen,Thank God It's Christmas - Non-Album Single,13,,57,"20,117,973","133,033,896",2/27/1984,45,"art rock, beholder, british, classic rock, glam rock, glorious, hard rock, pop rock, progressive rock, rock, symphonic rock, uk",138655
1779,Queen,Somebody To Love - Remastered 2011,22,,50,"9,260,667","132,982,997",12/10/1976,74,"art rock, beholder, british, classic rock, glam rock, glorious, hard rock, pop rock, progressive rock, rock, symphonic rock, uk",838958
1780,Olivia Rodrigo,enough for you,12,,11,"27,845,206","132,980,288",5/21/2021,76,"2020s, folk pop, musical, pop, pop punk, pop rock, power pop, singer-songwriter",845937
1781,Tove Lo,Stay High - Habits Remix,44,,12,"5,045,008","132,875,683",9/24/2014,67,"alternative pop, contemporary r&b, dance-pop, electropop, female vocals, indie pop, pop",438155
1782,V,Slow Dancing,11,,20,"17,648,104","132,791,421",10/26/2018,84,"k-pop, pop",317320
1783,Bad Bunny,PERFuMITO NUEVO,8,,14,"30,689,578","132,532,392",1/5/2025,81,"hip hop, latin, latin trap, reggaeton, trap latino",307118
1784,P!nk,Cover Me In Sunshine,19,,59,"8,745,047","132,526,342",2/12/2021,69,"2000s, 2010s, contemporary r&b, dance-pop, electropop, pop, pop rock, rock, singer-songwriter",157008
1785,AronChupa,I'm an Albatraoz,46,,21,"4,552,106","132,335,496",8/8/2014,73,"rap, love, romatic",406205
1786,Big Shaq,Man's Not Hot,19,,36,"10,229,463","132,292,671",9/22/2017,58,hip hop,206411
1787,sombr,12 to 12,9,,15,"21,062,517","151,378,348",7/24/2025,86,"2020s, indie pop, pop rock",424621
1788,"Tyler, The Creator",Sugar On My Tongue,10,,26,"17,569,348","151,043,828",7/21/2025,91,"hardcore hip hop, hip hop, horrorcore, west coast hip hop",929018
1789,Henrique & Juliano,Arranhão - Ao Vivo,20,,84,"7,524,288","131,535,892",12/10/2021,60,sertanejo,99192
1790,Post Malone,Paranoid,13,1,4,"31,182,644","131,467,348",9/18/1970,67,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",297696
1791,Sheppard,Geronimo,43,,18,"5,387,659","131,464,626",1/12/2015,73,"indie pop, pop rock",492790
1792,Tion Wayne,Body (Remix),12,,17,"18,311,771","131,383,409",9/6/2024,53,hip hop,453
1793,Xamã,Malvadão 3,15,,33,"11,140,475","131,288,711",11/30/2021,59,"rap, love, romatic",150045
1794,Troye Sivan,Rush,13,,31,"15,561,397","131,281,264",10/13/2023,77,"dream-pop, electropop, pop, queer, synth-pop, synthpop",923548
1795,Taylor Swift,Love Story (Taylor’s Version),15,1,8,"18,627,530","131,094,398",2/12/2021,78,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",1007418
1796,Gabito Ballesteros,LOU LOU,12,,43,"14,019,051","131,070,357",10/19/2023,66,"rap, love, romatic",45856
1797,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",9,1,3,"38,691,553","130,793,473",10/26/2023,74,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",645020
1798,Drake,What’s Next,12,1,2,"28,117,894","130,679,820",3/5/2021,67,"rap, love, romatic",380566
1799,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",15,,43,"22,019,354","130,458,303",1981,55,"american, americana, aor, contemporary folk, folk, heartland rock, pop rock, rock, rock and roll, singer-songwriter, usa",360713
1800,Drake,Pop Style,27,,23,"11,898,517","2,694,943",5/6/2016,59,"rap, love, romatic",337982
1801,Lana Del Rey,Radio,15,,125,"9,324,153","130,299,132",1/1/2012,73,"rap, love, romatic",1527824
1802,Bryson Tiller,Exchange,45,,65,"4,020,032","130,212,326",10/2/2015,79,"alternative r&b, contemporary r&b, trap, trap soul",741775
1803,Adele,Water Under the Bridge,25,,51,"7,530,043","130,072,233",11/20/2015,72,"2010s, aln-sh, blue-eyed soul, blues-pop, neo soul, pop, pop soul, r&b, soul",585850
1804,Myke Towers,Si Se Da,22,,97,"6,822,944","130,043,307",1/24/2020,59,"latin, latin urban, reggaeton, trap latino",44063
1805,J Balvin,Mi Gente,14,,15,"15,823,808","706,648,562",5/25/2018,76,"hip hop, latin, latin pop, pop, reggaeton",580839
1806,Peso Pluma,LAGUNAS,15,,113,"9,524,159","129,855,425",6/22/2023,42,"corrido tumbado, regional mexicano",112626
1807,Lady Gaga,Stupid Love,14,,13,"24,400,673","129,827,120",8/20/2024,41,"2000s, 2010s, 2020s, adult contemporary, americana, dance, dance-pop, electro house, electronic, electropop, film soundtrack, industrial pop, jazz, late 2000s, millennial, pop, pop rock, synth-pop, synthpop",532133
1808,Post Malone,Hollywood's Bleeding,13,1,5,"28,946,369","129,787,906",9/6/2019,75,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",508026
1809,Tove Lo,Talking Body,38,,27,"6,208,542","129,753,440",9/24/2014,70,"alternative pop, contemporary r&b, dance-pop, electropop, female vocals, indie pop, pop",777951
1810,Wisin,Fiel - Remix,14,,29,"13,822,347","129,729,188",6/15/2021,62,soundtrack,49183
1811,Jennifer Lopez,Ain't Your Mama,30,,54,"5,758,619","129,575,363",4/7/2016,69,"contemporary r&b, dance, dance-pop, electro house, electronic, latin, latin pop, pop, pop rap, reggaeton",271467
1812,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",13,,21,"16,111,773","128,974,936",2/28/2019,60,"rap, love, romatic",222429
1813,Labrinth,Still Don't Know My Name,20,,53,"9,488,078","128,666,708",10/4/2019,72,"hip-hop, producer, singer, uk",708526
1814,Milly,No Te Enamores - Remix,19,,58,"8,522,956","128,657,047",4/16/2021,28,"reggaeton, trap latino",20402
1815,G-Eazy,Good Life,17,,25,"12,786,896","128,556,553",3/17/2017,65,"hip hop, trap",5143
1816,Sam Smith,Money On My Mind,52,,13,"4,103,335","128,529,242",5/26/2014,66,"alliteration, alternative r&b, blue-eyed soul, english, lgbtqi, nuno, pop, pop soul, queer, soul, synth funk",457213
1817,Ali Gatie,What If I Told You That I Love You,15,,29,"13,658,542","128,458,623",1/24/2020,57,"2010s, 2020s, contemporary r&b, hip hop soul, pop soul, r&b",154313
1818,Nevada,The Mack,20,,32,"8,814,434","128,422,588",9/23/2016,61,"rap, love, romatic",116980
1819,TWICE,Strategy,13,,90,"10,873,217","136,919,883",6/20/2025,86,"3rd gen k-pop, dance, dance-pop, electronica, female vocals, girl group, j-pop, k-pop, korean, pop, r&b",359336
1820,Xavi,En Privado,14,,98,"10,691,126","136,522,496",2/6/2025,85,"rap, love, romatic",31535
1821,Petit Biscuit,Sunset Lover,25,,53,"7,245,899","127,926,039",2015,65,"chill, chillout, electro, electronic, electronic music, france",422945
1822,Jessica Darrow,Surface Pressure,13,,23,"13,479,659","127,800,585",1/27/2022,57,"rap, love, romatic",272013
1823,Post Malone,Enemies,13,1,7,"25,861,671","127,662,405",10/28/2021,74,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",6847
1824,Niall Horan,Too Much To Ask,18,,37,"11,073,444","127,598,111",7/8/2007,58,pop,262831
1825,Calvin Harris,Rollin,17,,38,"11,604,438","127,584,680",1/24/2011,79,"2010s, dance-pop, edm, electro house, electronic, electropop, festival progressive house, funktronica, late 2000s, nu disco, nu-disco, progressive house, uk hip hop",102866
1826,Sebastian Yatra,Por Perro,22,,84,"6,707,725","127,370,734",5/18/2018,67,"latin, latin pop, latin urban, reggaeton",44162
1827,Alvaro Soler,La Cintura,18,,42,"10,848,362","9,923,093",5/10/2019,65,"latin pop, pop",106174
1828,Fall Out Boy,Centuries,53,,21,"5,282,344","126,934,681",1/16/2015,81,"alternative rock, electropop, emo, emo pop, indie rock, pop, pop punk, pop rock",1090042
1829,Lorde,Team,57,,14,"3,798,882","126,720,090",9/27/2013,80,"2010s, alternative pop, alternative rock, art pop, dance-pop, folk pop, indie pop, indietronica, pop, singer-songwriter, synth-pop",1607960
1830,Taylor Swift,Florida!!!,6,1,10,"50,743,539","126,620,254",5/10/2024,24,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",8588
1831,YOASOBI,アイドル,14,,95,"10,216,723","126,551,606",4/12/2023,72,"j-pop, pop",358316
1832,Lil Uzi Vert,Sanguine Paradise,18,,38,"10,891,403","126,518,401",4/9/2019,72,"2010s, 2020s, cloud rap, east coast hip hop, emo rap, hip hop, millennial, pop rap, rage, trap",441194
1833,Ruth B.,Lost Boy,43,,79,"3,787,147","126,471,242",5/5/2017,69,"rap, love, romatic",338887
1834,TWICE,The Feels,17,,57,"9,255,118","126,459,551",10/1/2021,62,"3rd gen k-pop, dance, dance-pop, electronica, female vocals, girl group, j-pop, k-pop, korean, pop, r&b",725268
1835,Maluma,Hawái - Remix,15,,17,"15,884,698","125,857,481",11/5/2020,61,"english, latin, latin pop, latin urban, reggaeton, spanish, trap latino",141651
1836,Becky G,Chanel,11,,49,"13,365,593","125,852,457",3/10/2017,76,"contemporary r&b, cumbia, dance-pop, hip hop, latin, latin pop, latin urban, mexican traditions, pop, pop rap, reggaeton, stage & screen, teen pop",76556
1837,Ofenbach,Wasted Love,20,,90,"7,483,373","125,451,999",3/6/2025,66,"dance, deep house, edm, english, house",3514
1838,Kelly Clarkson,"Santa, Can’t You Hear Me",11,,44,"22,002,821","125,421,499",10/15/2021,59,"music for soccer moms, pop, pop rock",354364
1839,The Weeknd,In The Night,28,,28,"7,386,246","125,286,757",8/28/2015,72,"2000s, 2010s, 2020s, adult contemporary, americana, dance, dance-pop, electro house, electronic, electropop, film soundtrack, industrial pop, jazz, late 2000s, millennial, pop, pop rock, synth-pop, synthpop",728115
1840,Khalid,Talk,8,,17,"17,410,486","420,282,616",5/11/2010,82,"contemporary r&b, hip hop, leftfield, pop, r&b, singer-songwriter",347111
1841,Billie Eilish,Happier Than Ever - Edit,19,,70,"8,274,552","125,073,413",7/28/2021,70,"2010s, 2020s, alt-pop, alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, dark pop, electronic, electronica, electropop, gen z, indie pop, nepo baby, pity pop, pop, pop rock, pop soul, queer, singer-songwriter",605818
1842,KAROL G,Verano Rosa,12,,57,"13,024,924","124,974,454",6/20/2025,86,"latin, latin urban, r&b, reggaeton, spanish",66924
1843,DJ Snake,Turn Down for What,59,,14,"4,322,985","124,742,389",12/18/2013,70,"2010s, alternative r&b, contemporary r&b, dance, edm, electropop, hip hop, moombahton, trap",385940
1844,Tommy Richman,DEVIL IS A LIE,10,,39,"15,602,091","124,034,151",6/14/2024,73,house,404139
1845,Alejo,Pantysito,17,,55,"9,279,709","124,015,852",3/18/2022,66,"latin, reggaeton, trap latino",75972
1846,Bernadya,Satu Bulan,10,,48,"15,052,227","123,997,791",6/22/2023,76,indopop,22115
1847,Tiago PZK,Salimo de Noche,17,,72,"9,289,460","123,950,882",10/21/2021,58,trap latino,80482
1848,Wallows,Are You Bored Yet?,23,,105,"6,632,270","123,943,551",3/22/2019,77,"alternative rock, indie pop, indie rock, pop rock",11578
1849,Daddy Yankee,Vuelve,23,,71,"6,653,418","123,879,341",9/29/2017,76,"hip hop, latin, latin pop, latin urban, puerto rico, reggae, reggaeton",125289
1850,Ozuna,Unica,21,,63,"7,754,505","123,578,496",9/12/2025,20,"latin, latin trap, latin urban, reggaeton, trap latino",48528
1851,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",14,,45,"11,083,217","123,525,427",6/8/2022,67,"pop, trap, trap edm, trap latino",165454
1852,Pop Smoke,Got It On Me,19,,41,"10,606,428","123,416,577",7/3/2020,69,"death by murder, east coast hip hop, english, hip hop, rap, trap",373953
1853,Israel & Rodolffo,Batom de Cereja - Ao Vivo,17,,55,"9,175,119","123,254,916",1/29/2021,59,"rap, love, romatic",69730
1854,Meghan Trainor,Lips Are Movin,34,1,9,"7,073,920","123,100,945",1/12/2015,65,"2010s, blue-eyed soul, bubblegum pop, dance-pop, doo-wop, music for soccer moms, pop, r&b, soul",459838
1855,Gwen Stefani,You Make It Feel Like Christmas,12,,63,"19,485,640","123,023,019",10/6/2017,55,"2008 universal fire victim, contemporary r&b, dance-pop, electropop, pop, pop rap, pop rock",15477
1856,Curtis Waters,Stunnin',18,,68,"8,493,044","122,955,379",7/29/2020,25,"rap, love, romatic",25528
1857,Future,Selfish,18,,45,"9,935,891","122,944,542",7/8/2025,45,"english, hip hop, southern hip hop, trap, trap rap",85160
1858,Billie Eilish,my future,14,1,5,"23,520,611","122,773,561",7/30/2020,67,"2010s, 2020s, alt-pop, alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, dark pop, electronic, electronica, electropop, gen z, indie pop, nepo baby, pity pop, pop, pop rock, pop soul, queer, singer-songwriter",874552
1859,Imagine Dragons,Follow You,19,,75,"7,740,318","122,688,367",2016,7,"alternative pop, alternative rock, electropop, indie pop, indietronica, nuno, pop, pop rock, rock",264895
1860,Regard,Secrets,17,,64,"8,515,783","122,645,844",1/1/2009,77,"dance, dj, english",211829
1861,Billie Eilish,TV,16,,27,"14,088,818","122,634,392",11/22/2024,85,"2010s, 2020s, alt-pop, alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, dark pop, electronic, electronica, electropop, gen z, indie pop, nepo baby, pity pop, pop, pop rock, pop soul, queer, singer-songwriter",1057197
1862,Sabrina Carpenter,Tears,4,3,2,"42,261,309","140,405,089",8/29/2025,94,"2020s, dance-pop, electropop, pop",684752
1863,Apache 207,Roller,19,,66,"8,395,606","122,348,079",1/17/2018,57,"german, hip hop, rap",72242
1864,Taylor Swift,Vigilante Shit,6,1,9,"46,504,014","122,300,185",10/21/2022,68,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",790160
1865,CNCO,Reggaetón Lento (Remix),20,,56,"7,716,858","121,993,437",4/6/2018,63,"latin pop, latin urban, reggaeton",193070
1866,Bruno Mars,Versace on the Floor,30,,80,"5,137,524","121,744,296",11/17/2016,80,"2010s, funk, music for soccer moms, pop, r&b, relic inn, rock, soul",627617
1867,Tiësto,Wasted,44,6,7,"5,984,920","121,736,213",12/29/2024,50,"dance, dance and electronica, dance-pop, dutch, dutch trance, edm, electro house, electronic, english, house, progressive house, progressive trance, remixes, tech trance, trance, uplifting trance, vinyl",374959
1868,David Guetta,Lovers on the Sun,40,,13,"5,798,766","121,682,700",11/10/2014,73,"dance, dance-pop, electro house, electronic, electropop, english, festival progressive house, future rave, house, tech house",20896
1869,Taylor Swift,Delicate,18,,26,"12,788,750","121,403,504",11/10/2017,82,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",1040323
1870,Daya,"Sit Still, Look Pretty",36,,74,"4,595,306","121,398,109",10/7/2016,71,"electropop, pop, synthpop",337763
1871,Anuel AA,Quiere Beber,17,,45,"9,739,397","121,332,715",7/17/2018,73,"latin, reggaeton, trap latino",85723
1872,Kanye West,All Mine,11,2,3,"27,716,117","121,282,862",12/22/2017,63,"country rock, rock, rock and indie",916308
1873,Isabel LaRosa,favorite,11,,68,"13,599,140","121,077,755",3/29/2024,72,"2020s, alternative pop",306719
1874,The Rare Occasions,Notion,17,,67,"8,821,888","120,835,864",12/2/2021,83,"alternative rock, indie rock",949783
1875,Wisin,Vacaciones,31,,79,"5,214,524","120,790,549",12/1/2017,63,"latin, latin urban, reggaeton",45784
1876,Kesha,Praying,20,,37,"9,957,610","120,718,178",8/11/2017,68,"crunkcore, dance-pop, electronic, europop, indie pop, lgbtq, pop rock",368611
1877,Jason Derulo,If It Ain't Love,20,,38,"8,780,099","120,571,011",4/1/2016,50,"2010s, contemporary r&b, dance, dance-pop, english, pop, r&b",97468
1878,Paulo Londra,Plan A,10,2,4,"24,746,212","120,543,943",7/14/2024,49,"rap, love, romatic",96067
1879,The Weeknd,Often,62,,41,"5,054,030","120,070,975",8/28/2015,80,"2010s, 2020s, alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pop, r&b, synth-pop",1131989
1880,Logic,Homicide,12,2,3,"27,894,553","119,989,488",7/20/2022,88,"east coast hip hop, hip hop, pop rap",148842
1881,Young Miko,offline,11,,68,"13,964,616","119,979,074",6/4/2025,24,"hip hop, latin, latin trap, reggaeton, trap, trap latino",111405
1882,Lil Uzi Vert,Futsal Shuffle 2020,12,,18,"20,451,202","119,905,873",3/6/2020,60,"2010s, 2020s, cloud rap, east coast hip hop, emo rap, hip hop, millennial, pop rap, rage, trap",300520
1883,Stormzy,Own It,15,,36,"11,310,793","119,884,192",12/13/2019,68,"english, grime, hip hop, rap",3432
1884,João Gomes,Meu Pedaço de Pecado,16,,57,"9,231,666","119,869,288",8/16/2024,61,"rap, love, romatic",196444
1885,Justin Quiles,DJ No Pare,21,,85,"6,682,269","119,781,316",5/31/2019,50,"latin, latin urban, reggaeton",8108
1886,6ix9ine,KIKA,15,,12,"17,735,352","119,680,983",8/18/2025,34,"2010s, drill, east coast hip hop, hardcore hip hop, hip hop, trap",94442
1887,Sebastian Yatra,SUTRA,24,,96,"6,224,427","119,635,665",5/18/2018,66,"latin, latin pop, latin urban, reggaeton",51584
1888,Jason Derulo,Trumpets,60,,26,"3,583,542","119,271,329",9/10/2013,67,"2010s, contemporary r&b, dance, dance-pop, english, pop, r&b",10544
1889,Post Malone,Motley Crew,12,,18,"20,518,441","119,099,898",7/9/2021,68,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",382071
1890,Nicky Jam,Polvo,18,,82,"7,330,583","118,844,500",11/20/2020,57,"latin, latin urban, reggaeton",21904
1891,S3BZS,MONTAGEM - PR FUNK,13,,90,"10,504,297","118,683,547",5/1/2023,69,"rap, love, romatic",390355
1892,Shakira,Me Gusta,15,,47,"11,157,044","118,679,933",6/1/2001,80,"latin, latin pop, pop, pop rock",95693
1893,Trueno,Mamichula,14,,37,"12,258,388","118,185,633",9/11/2025,28,trap latino,2561
1894,Jax Jones,Breathe,20,,48,"9,283,638","117,899,105",9/27/2017,58,"edm, house",113622
1895,Miguel,Sky Walker,21,,69,"7,143,348","117,642,137",12/1/2017,76,"alternative r&b, contemporary r&b, psychedelic pop, r&b, urban contemporary",83901
1896,Eugenio Esquivel,Alucin,11,,60,"12,949,130","117,509,505",4/1/2025,77,latin,44206
1897,Normani,Motivation,14,,42,"10,353,406","117,321,765",1/1/2011,70,"rap, love, romatic",466599
1898,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),9,1,4,"29,892,837","117,281,446",7/7/2023,72,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",592479
1899,Artemas,if u think i'm pretty,11,,52,"14,076,739","117,190,733",10/24/2023,68,"alternative pop, dark electro, pop, pop rock, sexy drill, synth-pop",736269
1900,Raim Laode,Lesung Pipi,12,,86,"11,268,657","117,072,810",8/31/2023,83,"rap, love, romatic",9784
1901,Morgan Wallen,Just In Case,12,,49,"14,147,510","117,014,630",3/21/2025,77,"country, country pop",93614
1902,Calum Scott,Dancing On My Own,32,,70,"4,798,016","116,897,730",3/9/2018,80,"lgbtqi, pop, queer",462975
1903,Queen,We Will Rock You - Remastered,22,,73,"7,615,977","116,777,009",10/28/1977,77,"art rock, beholder, british, classic rock, glam rock, glorious, hard rock, pop rock, progressive rock, rock, symphonic rock, uk",271395
1904,Sam Smith,Diamonds,17,,42,"10,413,301","116,651,292",1/1/2012,62,"alliteration, alternative r&b, blue-eyed soul, english, lgbtqi, nuno, pop, pop soul, queer, soul, synth funk",283052
1905,Gunna,DOLLAZ ON MY HEAD,22,,69,"7,570,232","116,648,110",5/22/2020,72,"hip hop, pop rap, southern hip hop, trap",1970
1906,Laufey,From The Start,13,,109,"10,300,883","127,282,539",9/8/2023,86,"bossa nova, easy listening, jazz, jazz pop, pop, singer-songwriter, vocal jazz",1267430
1907,Julión Álvarez y su Norteño Banda,Rey Sin Reina,11,,57,"14,242,840","116,522,869",9/5/2024,75,"rap, love, romatic",37925
1908,Taylor Swift,Question...?,6,1,10,"45,085,239","116,467,195",10/21/2022,63,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",686703
1909,bbno$,edamame,17,,76,"7,800,896","116,397,095",10/8/2021,78,"cloud rap, hip hop, pop rap, trap",367582
1910,Young Thug,pick up the phone,34,,87,"4,277,147","116,352,106",1/26/2024,65,"english, experimental hip hop, hip hop, pop rap, rap, southern hip hop, trap",705436
1911,Nicki Minaj,Bed,12,,22,"14,917,808","116,241,025",9/7/2018,76,"2010s, east coast hip hop, electronic, hip hop, late 2000s, pop, pop rap, queen of rap, r&b",12912
1912,Big Sean,I Don't Fuck With You,51,,34,"3,981,169","116,037,513",2/23/2015,74,"detroit hip hop, hip hop, pop rap, r&b, rap, southern hip hop, trap",626923
1913,Avicii,The Days,35,5,4,"7,862,217","115,777,670",11/8/2024,86,"dance-pop, edm, electro house, electronic, electropop, festival progressive house, funky house, house, progressive house, tropical house",300410
1914,Jack Harlow,Tyler Herro,17,,62,"9,236,771","115,611,739",12/11/2020,71,"english, hip hop, pop rap, rap",426513
1915,Liam Payne,Familiar,18,,57,"10,135,185","115,586,518",10/21/2016,63,"death by fall, pop",106383
1916,Vishal Mishra,Pehle Bhi Main,10,,49,"15,323,148","115,580,112",11/24/2023,73,"rap, love, romatic",32329
1917,KAROL G,S91,11,,41,"14,742,843","115,402,739",8/10/2023,67,"latin, latin urban, r&b, reggaeton, spanish",109782
1918,Nicky Jam,Si Tú La Ves,30,,117,"4,306,871","114,894,480",1/20/2017,67,"latin, latin urban, reggaeton",18142
1919,Brytiago,Asesina,18,,73,"7,188,038","5,745,778",5/1/2018,74,"latin, reggaeton, trap latino",69966
1920,One Direction,Steal My Girl,27,2,9,"11,453,605","114,774,071",11/17/2014,82,"boy band, dance-pop, folk pop, pop, pop rock, power pop, teen pop",902580
1921,Oruam,Oh Garota Eu Quero Você Só Pra Mim,11,,44,"14,543,305","114,672,432",12/17/2024,74,"rap, love, romatic",113571
1922,Dj Caio Vieira,FAMOSINHA,13,,137,"9,355,768","114,444,942",2/28/2025,85,"rap, love, romatic",133095
1923,Miley Cyrus,Wrecking Ball,44,16,1,"6,033,827","114,320,139",10/4/2013,80,"acoustic rock, alternative country, alternative rock, american, rock, singer-songwriter, synth-pop",1177163
1924,JNR CHOI,TO THE MOON,15,,55,"9,614,884","114,291,711",7/7/2020,49,hip hop,132069
1925,James Arthur,Car's Outside,14,,145,"8,553,077","114,244,153",10/18/2019,84,"pop, pop soul",380563
1926,BABYMONSTER,SHEESH,10,,57,"14,082,210","114,212,335",4/1/2024,76,"5th gen k-pop, girl group, k-pop, kpop",284317
1927,Nirvana,Come As You Are - Remastered,14,,178,"8,526,802","122,327,739",9/26/1991,82,"90s, acoustic rock, alternative metal, alternative rock, american, estados unidos, grunge, noise rock, post-hardcore, punk, punk rock, rock, seattle, sludge metal, united states, usa",36620
1928,OMI,Hula Hoop,28,,26,"6,732,598","113,968,894",10/16/2015,60,"afrobeats, dance-pop, pop reggae, reggae-pop, tropical house",142215
1929,"Tyler, The Creator",St. Chroma,6,1,10,"29,514,831","113,661,496",5/31/2023,28,"hardcore hip hop, hip hop, horrorcore, west coast hip hop",502138
1930,Lil Peep,Star Shopping,23,,152,"5,623,187","113,643,496",8/17/2015,82,"cloud rap, emo, emo rap, emo-trap, hip hop, post-emo, trap",968991
1931,YNW Melly,Mixed Personalities,17,,59,"8,922,507","113,541,444",1/18/2019,68,"hip hop, pop rap, southern hip hop, trap",1598
1932,OneRepublic,Rich Love,18,,49,"9,304,763","113,527,123",7/14/2017,65,"folk pop, pop, pop rock, rock",10060
1933,Taylor Swift,You’re Losing Me (From The Vault),9,,14,"25,767,209","113,482,436",11/29/2023,77,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",546909
1934,Bill Withers,Ain't No Sunshine,12,,76,"11,997,888","113,367,464",5/1/1971,81,"2020s, folk, folk pop, indie folk",1640082
1935,Lil Uzi Vert,P2,15,,21,"18,179,065","113,211,830",3/6/2020,61,"2010s, 2020s, cloud rap, east coast hip hop, emo rap, hip hop, millennial, pop rap, rage, trap",401509
1936,Tory Lanez,LUV,22,,40,"8,807,940","113,130,035",12/9/2015,65,"alternative hip hop, alternative r&b, canadian hip hop, contemporary r&b, dancehall, hip hop, r&b, scumbag",223254
1937,Tinie Tempah,Girls Like,27,,53,"5,740,481","113,048,547",10/6/2022,64,"grime, hip-hop, mc, rapper, uk",3708
1938,Katy Perry,Last Friday Night (T.G.I.F.),13,,144,"9,092,488","112,919,697",1/1/2010,78,"2010s, bubblegum pop, camp, contemporary pop/rock, dance music, dance-pop, disco, electropop, gospel music, pop, pop rock, synth-pop, teen pop",2256173
1939,KAROL G,Créeme,21,,114,"6,222,776","112,683,252",5/3/2019,71,"latin, latin urban, r&b, reggaeton, spanish",71176
1940,Doja Cat,Like That,19,,69,"7,546,129","112,619,024",4/1/2024,72,"_private tag 1, chiptune, cover",73776
