id,artist,title,total,releasedate,unique_listener,year,recency,log_total,log_total_norm,unique_norm,recency_norm,songscore,genre,track_id,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mode,duration_ms,unnamed: 24,explicit
50,Elton John,Cold Heart - PNAU Remix,1974787398,8/13/2021,823709,2021,0.95,21.40372658,0.910161301,0.215213818,0.95,70.96447959,"rock, piano rock, soft rock, rock and roll, classic rock",6zSpb8dQRaw0M1dK8PBwQz,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
51,Arctic Monkeys,Miss You,1967628879,4/22/2007,2767053,2007,0.775,21.40009504,0.909808869,0.722960483,0.775,82.67925793,"indie, garage rock",1SV1fxF65n9NhRHp3KlBuu,0.527,0.63425,0.520325,119.947,0.15081125,-5.487,0.03275,1,204280,,0
52,ROSÉ,APT.,1967833416,10/18/2024,1226996,2024,0.9875,21.40019899,0.909818956,0.320582517,0.9875,74.85842334,k-pop,5vNRhkKd0yEAg8suGBpjeY,0.672707317,0.731365854,0.54025,119.947,0.139676829,-5.487,0.101746341,1,204280,,0
53,Manuel Turizo,La Bachata,1937228986,5/26/2022,361527,2022,0.9625,21.38452443,0.90829778,0.094457344,0.9625,67.4986093,"reggaeton, pop urbano, latin, colombian pop",5ww2BF9slyYgNOk37BlC4u,0.835,0.679,0.85,124.98,0.583,-5.329,0.0364,0,162637,,FALSE
54,Travis Scott,goosebumps,1930715182,9/16/2016,1578205,2016,0.8875,21.38115633,0.907970914,0.412344551,0.8875,75.51888223,rap,6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,0.43,130.049,0.0847,-3.37,0.0484,1,243836,,TRUE
55,Jimin,Who,1948685337,7/19/2024,379950,2024,0.9875,21.3904208,0.908870007,0.099270808,0.9875,68.17162461,k-pop,7tI8dRuH2Yc6RuoTjxo4dU,0.672707317,0.731365854,0.54025,119.947,0.139676829,-5.487,0.101746341,1,204280,,0
56,Juice WRLD,Lucid Dreams,1911008149,12/10/2018,1180363,2018,0.9125,21.37089677,0.906975248,0.308398493,0.9125,72.85071721,"melodic rap, emo rap",285pBltuF7vW8TeWk8hdRR,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
57,Post Malone,Circles,1905867050,9/6/2019,1401999,2019,0.925,21.36820289,0.906713814,0.366306378,0.925,74.82488202,"r&b, alternative r&b, contemporary r&b, cloud rap, trap",21jGcNKet2qwijlDFuPiPb,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
58,Tate McRae,greedy,1915490679,9/15/2023,1160969,2023,0.975,21.37323966,0.90720262,0.303331331,0.975,73.96007093,"alternative pop, contemporary r&b, dance-pop, pop, pop rock",3rUGC1vUpkDG9CZFHMur1t,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
59,Billie Eilish,bad guy,1896726225,3/29/2019,1567845,2019,0.925,21.3633952,0.90624724,0.409637745,0.925,76.10149434,"art pop, indie pop, alternative pop, dark pop, electronic",2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,0.562,135.128,0.328,-10.965,0.375,1,194087,,FALSE
